AtcoCode,Easting,Northing,Longitude,Latitude,StopType,BusStopType
1800WKH4032,356697,410685,-2.655676,53.59095,BCT,HAR
1800SBT0641,384219,398501,-2.239274,53.48299,TXR,
1800SBT0351,383740,397932,-2.246462,53.47786,TXR,
1800SG44991,385992,386275,-2.212008,53.37315,BCT,MKD
1800SGH2781,386832,384681,-2.199316,53.35884,BCT,HAR
1800SGH2782,386832,384681,-2.199316,53.35884,BCT,HAR
1800WAH1041,363732,408572,-2.549153,53.57249,BCT,HAR
1800WAH1051,363730,408552,-2.549181,53.57231,BCT,HAR
1800WAH1091,364618,409235,-2.53585,53.57851,BCT,HAR
1800WAH1092,364618,409235,-2.53585,53.57851,BCT,HAR
1800EDH2141,400642,409389,-1.991776,53.58109,BCT,HAR
1800EDH2201,401622,409395,-1.976974,53.58115,BCT,HAR
1800EDH2161,401091,409696,-1.984993,53.58385,BCT,HAR
1800EDH2191,401303,409250,-1.981792,53.57985,BCT,HAR
1800EDH2151,400640,409380,-1.991806,53.58101,BCT,HAR
1800EDH2211,401599,409380,-1.977321,53.58101,BCT,HAR
1800EDH3311,390833,406531,-2.139845,53.55532,BCT,HAR
1800NEH4101,389100,411103,-2.166166,53.59639,BCT,HAR
1800NEH0491,389526,408678,-2.159647,53.5746,BCT,HAR
1800NEH0492,389526,408678,-2.159647,53.5746,BCT,HAR
1800ED02491,390502,407095,-2.144859,53.56039,BCT,MKD
1800ED02481,390474,407051,-2.14528,53.55999,BCT,MKD
1800NEH0501,389473,408519,-2.160442,53.57317,BCT,HAR
1800WAH2841,374387,406250,-2.388067,53.55225,BCT,HAR
1800WAH2831,373167,407214,-2.406563,53.56085,BCT,HAR
1800WAH2851,374370,406290,-2.388326,53.55261,BCT,HAR
1800WAH2261,374175,404781,-2.391144,53.53904,BCT,HAR
1800SBH1321,384203,392648,-2.239219,53.43038,BCT,HAR
1800SBH1322,384140,392689,-2.240169,53.43075,BCT,HAR
1800SBH1261,384103,392714,-2.240727,53.43097,BCT,HAR
1800NC23271,377434,408187,-2.342217,53.5698,BCT,MKD
1800NF29041,377417,399004,-2.341808,53.48726,BCT,MKD
1800EBH0501,389727,396921,-2.156221,53.46893,BCT,HAR
1800EHH2121,389771,396762,-2.155553,53.4675,BCT,HAR
1800EBH2031,389768,396764,-2.155598,53.46751,BCT,HAR
1800WK35661,364937,402421,-2.530266,53.51729,BCT,MKD
1800WK35651,364910,402369,-2.530667,53.51682,BCT,MKD
1800WK08681,364707,402172,-2.533706,53.51503,BCT,MKD
1800NE41031,386840,407504,-2.20016,53.56398,BCT,MKD
1800NE03011,386863,407523,-2.199813,53.56416,BCT,MKD
1800ED08841,395039,403196,-2.076302,53.52541,BCT,MKD
1800ED08791,394631,403453,-2.082461,53.52771,BCT,MKD
