2021 super output area - middle layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,%,Less than 2km,%,2km to less than 5km,%,5km to less than 10km,%,10km to less than 20km,%,20km to less than 30km,%,30km to less than 40km,%,40km to less than 60km,%,60km and over,%,Works mainly from home,%,"Works mainly at an offshore installation, in no fixed place, or outside the UK",%
,,,,,,,,,,,,,,,,,,,,,,,
Manchester 001,E02001045,3303,100,344,10.4,541,16.4,787,23.8,321,9.7,48,1.5,18,0.5,30,0.9,48,1.5,620,18.8,546,16.5
Manchester 002,E02001046,4673,100,514,11,690,14.8,1029,22,473,10.1,57,1.2,54,1.2,43,0.9,73,1.6,1001,21.4,739,15.8
Manchester 003,E02001047,4300,100,350,8.1,730,17,1010,23.5,451,10.5,46,1.1,52,1.2,38,0.9,61,1.4,861,20,701,16.3
Manchester 004,E02001048,3682,100,498,13.5,620,16.8,617,16.8,298,8.1,53,1.4,24,0.7,31,0.8,31,0.8,866,23.5,644,17.5
Manchester 005,E02001049,4562,100,404,8.9,742,16.3,955,20.9,523,11.5,34,0.7,35,0.8,45,1,46,1,1029,22.6,749,16.4
Manchester 006,E02001050,2930,100,401,13.7,578,19.7,526,18,264,9,44,1.5,14,0.5,23,0.8,47,1.6,457,15.6,576,19.7
Manchester 007,E02001051,3688,100,398,10.8,714,19.4,711,19.3,381,10.3,44,1.2,39,1.1,33,0.9,74,2,706,19.1,588,15.9
Manchester 008,E02001052,4939,100,878,17.8,766,15.5,683,13.8,406,8.2,62,1.3,33,0.7,54,1.1,49,1,936,19,1072,21.7
Manchester 009,E02001053,3978,100,499,12.5,1023,25.7,683,17.2,436,11,52,1.3,24,0.6,45,1.1,75,1.9,552,13.9,589,14.8
Manchester 011,E02001055,3639,100,340,9.3,887,24.4,634,17.4,358,9.8,37,1,28,0.8,48,1.3,53,1.5,697,19.2,557,15.3
Manchester 012,E02001056,3095,100,385,12.4,821,26.5,552,17.8,301,9.7,35,1.1,31,1,33,1.1,68,2.2,433,14,436,14.1
Manchester 015,E02001059,4768,100,544,11.4,1077,22.6,718,15.1,431,9,47,1,40,0.8,52,1.1,80,1.7,1191,25,588,12.3
Manchester 017,E02001061,4146,100,422,10.2,737,17.8,954,23,406,9.8,41,1,31,0.7,51,1.2,74,1.8,827,19.9,603,14.5
Manchester 018,E02001062,3484,100,829,23.8,538,15.4,384,11,284,8.2,55,1.6,28,0.8,41,1.2,58,1.7,817,23.5,450,12.9
Manchester 019,E02001063,3861,100,721,18.7,567,14.7,402,10.4,237,6.1,47,1.2,31,0.8,45,1.2,117,3,1324,34.3,370,9.6
Manchester 020,E02001064,3786,100,513,13.5,821,21.7,571,15.1,344,9.1,82,2.2,41,1.1,48,1.3,67,1.8,662,17.5,637,16.8
Manchester 021,E02001065,3779,100,326,8.6,734,19.4,917,24.3,365,9.7,45,1.2,23,0.6,33,0.9,54,1.4,691,18.3,591,15.6
Manchester 022,E02001066,3759,100,741,19.7,695,18.5,436,11.6,311,8.3,66,1.8,41,1.1,42,1.1,69,1.8,837,22.3,521,13.9
Manchester 023,E02001067,4141,100,491,11.9,845,20.4,782,18.9,427,10.3,44,1.1,24,0.6,35,0.8,72,1.7,727,17.6,694,16.8
Manchester 024,E02001068,3865,100,641,16.6,799,20.7,482,12.5,272,7,44,1.1,22,0.6,26,0.7,60,1.6,872,22.6,647,16.7
Manchester 025,E02001069,4309,100,781,18.1,845,19.6,464,10.8,283,6.6,63,1.5,31,0.7,52,1.2,65,1.5,1124,26.1,601,13.9
Manchester 026,E02001070,3647,100,549,15.1,674,18.5,393,10.8,246,6.7,55,1.5,37,1,49,1.3,106,2.9,1074,29.4,464,12.7
Manchester 028,E02001072,4589,100,304,6.6,885,19.3,513,11.2,229,5,42,0.9,25,0.5,32,0.7,27,0.6,1961,42.7,571,12.4
Manchester 029,E02001073,5332,100,256,4.8,801,15,704,13.2,249,4.7,61,1.1,41,0.8,43,0.8,38,0.7,2678,50.2,461,8.6
Manchester 030,E02001074,4780,100,600,12.6,949,19.9,647,13.5,256,5.4,56,1.2,17,0.4,40,0.8,52,1.1,1520,31.8,643,13.5
Manchester 031,E02001075,3919,100,298,7.6,639,16.3,612,15.6,255,6.5,39,1,27,0.7,40,1,41,1,1365,34.8,603,15.4
Manchester 032,E02001076,3404,100,286,8.4,736,21.6,495,14.5,178,5.2,66,1.9,45,1.3,52,1.5,147,4.3,1020,30,379,11.1
Manchester 033,E02001077,4031,100,194,4.8,583,14.5,604,15,206,5.1,48,1.2,18,0.4,33,0.8,18,0.4,1985,49.2,342,8.5
Manchester 034,E02001078,4544,100,387,8.5,767,16.9,693,15.3,259,5.7,59,1.3,32,0.7,44,1,73,1.6,1506,33.1,724,15.9
Manchester 035,E02001079,3778,100,382,10.1,731,19.3,658,17.4,200,5.3,51,1.3,23,0.6,25,0.7,51,1.3,1192,31.6,465,12.3
Manchester 036,E02001080,3651,100,304,8.3,693,19,660,18.1,183,5,37,1,32,0.9,37,1,92,2.5,1239,33.9,374,10.2
Manchester 037,E02001081,3495,100,140,4,445,12.7,522,14.9,176,5,51,1.5,27,0.8,24,0.7,16,0.5,1818,52,276,7.9
Manchester 038,E02001082,3807,100,283,7.4,458,12,692,18.2,172,4.5,50,1.3,17,0.4,34,0.9,36,0.9,1789,47,276,7.2
Manchester 039,E02001083,5387,100,332,6.2,601,11.2,947,17.6,273,5.1,72,1.3,61,1.1,56,1,34,0.6,2664,49.5,347,6.4
Manchester 040,E02001084,4121,100,380,9.2,581,14.1,715,17.4,211,5.1,66,1.6,31,0.8,31,0.8,44,1.1,1674,40.6,388,9.4
Manchester 041,E02001085,3415,100,433,12.7,623,18.2,589,17.2,211,6.2,39,1.1,15,0.4,23,0.7,47,1.4,844,24.7,591,17.3
Manchester 042,E02001086,3425,100,186,5.4,496,14.5,671,19.6,177,5.2,47,1.4,24,0.7,27,0.8,29,0.8,1426,41.6,342,10
Manchester 043,E02001087,5162,100,291,5.6,466,9,918,17.8,284,5.5,84,1.6,53,1,46,0.9,48,0.9,2647,51.3,325,6.3
Manchester 044,E02001088,3894,100,299,7.7,884,22.7,820,21.1,217,5.6,47,1.2,21,0.5,29,0.7,23,0.6,1005,25.8,549,14.1
Manchester 045,E02001089,4117,100,192,4.7,438,10.6,798,19.4,268,6.5,84,2,44,1.1,45,1.1,33,0.8,1828,44.4,387,9.4
Manchester 046,E02001090,3399,100,156,4.6,552,16.2,697,20.5,203,6,61,1.8,28,0.8,31,0.9,41,1.2,1216,35.8,414,12.2
Manchester 047,E02001091,3888,100,385,9.9,719,18.5,624,16,292,7.5,67,1.7,19,0.5,30,0.8,31,0.8,1249,32.1,472,12.1
Manchester 048,E02001092,4169,100,718,17.2,745,17.9,713,17.1,290,7,61,1.5,14,0.3,35,0.8,36,0.9,882,21.2,675,16.2
Manchester 049,E02001093,3963,100,503,12.7,886,22.4,672,17,311,7.8,74,1.9,12,0.3,21,0.5,40,1,872,22,572,14.4
Manchester 050,E02001094,3657,100,789,21.6,756,20.7,524,14.3,334,9.1,47,1.3,17,0.5,13,0.4,32,0.9,596,16.3,549,15
Manchester 051,E02001095,3941,100,894,22.7,693,17.6,563,14.3,384,9.7,67,1.7,17,0.4,22,0.6,46,1.2,674,17.1,581,14.7
Manchester 052,E02001096,3576,100,428,12,801,22.4,426,11.9,388,10.9,68,1.9,7,0.2,21,0.6,45,1.3,838,23.4,554,15.5
Manchester 053,E02001097,3677,100,663,18,843,22.9,467,12.7,371,10.1,65,1.8,8,0.2,24,0.7,52,1.4,613,16.7,571,15.5
Manchester 054,E02006902,5051,100,870,17.2,482,9.5,387,7.7,355,7,49,1,39,0.8,45,0.9,41,0.8,2439,48.3,344,6.8
Manchester 055,E02006912,6070,100,964,15.9,419,6.9,401,6.6,405,6.7,80,1.3,54,0.9,51,0.8,78,1.3,3308,54.5,310,5.1
