2001 super output areas - middle layer,mnemonic,All people aged 16 to 74 in employment,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach","Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Taxi or minicab,Bicycle,On foot,Other
,,,,,,,,,,,,,
Manchester 001,E02001045,100,6.9,2.4,0.4,17.9,0.8,49.4,8.9,1.3,1.6,10,0.4
Manchester 002,E02001046,100,6.2,1,0.5,23,0.5,47.5,8.3,1.9,1.5,9.3,0.3
Manchester 003,E02001047,100,6.6,0.4,1.1,20.8,0.8,47.9,9.2,1.5,1.9,9.6,0.2
Manchester 004,E02001048,100,7.2,11,1.3,9.6,1,50.3,6.3,1.4,2.1,9.5,0.4
Manchester 005,E02001049,100,6.5,0.5,1.5,17.2,0.7,53.6,9.3,0.8,1.7,7.9,0.3
Manchester 006,E02001050,100,4.8,3,0.7,20.6,0.7,43.7,6.9,2.3,2.4,14.4,0.5
Manchester 007,E02001051,100,6.5,0.6,0.7,22.4,0.4,46.5,9.1,1.3,2.6,9.6,0.3
Manchester 008,E02001052,100,7,8,1.7,18,0.4,43.2,6.2,2,1.8,11.1,0.5
Manchester 009,E02001053,100,6.1,1.4,0.5,27.9,0.5,38.2,6.7,2,2.3,13.7,0.7
Manchester 010,E02001054,100,7.6,1.4,0.8,22.5,0.6,37.8,6,2.5,2,17.7,1.1
Manchester 011,E02001055,100,6.1,0.5,0.8,23.4,0.7,44,8.2,1.4,2.5,12.2,0.3
Manchester 012,E02001056,100,6.7,0.5,0.7,27,0.6,38.2,8.8,1.3,3.3,12.7,0.2
Manchester 013,E02001057,100,6.2,1.1,1.4,26.1,0.7,35.5,6.3,1.5,2.6,18.1,0.6
Manchester 014,E02001058,100,7.4,2.7,4.6,13.2,0.4,26,3.3,0.7,1.5,39.3,1
Manchester 015,E02001059,100,5.9,0.5,0.8,26.3,0.7,37.8,7.4,1.8,2.7,15.5,0.5
